idx	label	predict	radius	correct	time
0	3	6	0.31038720904804484	0	0:01:47.852143
1	8	8	0.3838293017686006	1	0:01:48.580543
2	8	8	0.3838293017686006	1	0:01:48.621472
3	0	0	0.2580656525347254	1	0:01:48.632898
4	6	4	0.3838293017686006	0	0:01:48.629317
5	6	6	0.3838293017686006	1	0:01:48.641161
6	1	5	0.3838293017686006	0	0:01:48.661348
7	6	4	0.3838293017686006	0	0:01:48.591745
8	3	5	0.3838293017686006	0	0:01:48.647548
9	1	9	0.3838293017686006	0	0:01:48.660010
10	0	0	0.3838293017686006	1	0:01:48.630612
11	9	8	0.24579996615269747	0	0:01:48.618222
12	5	6	0.3838293017686006	0	0:01:48.631492
13	7	7	0.3838293017686006	1	0:01:48.680562
14	9	9	0.3838293017686006	1	0:01:48.660462
15	8	8	0.3838293017686006	1	0:01:48.654904
16	5	5	0.3838293017686006	1	0:01:48.680275
17	7	7	0.3838293017686006	1	0:01:48.638143
18	8	8	0.3838293017686006	1	0:01:48.590969
19	6	6	0.3838293017686006	1	0:01:48.631537
20	7	7	0.3838293017686006	1	0:01:48.654001
21	0	0	0.3838293017686006	1	0:01:48.661995
22	4	0	0.3838293017686006	0	0:01:48.610958
23	9	9	0.3838293017686006	1	0:01:48.627189
24	5	2	0.3838293017686006	0	0:01:48.646146
25	2	2	0.3838293017686006	1	0:01:48.661551
26	4	4	0.3838293017686006	1	0:01:48.635779
27	0	7	0.3838293017686006	0	0:01:48.640777
28	9	9	0.3838293017686006	1	0:01:48.676467
29	6	6	0.3838293017686006	1	0:01:48.580043
30	6	6	0.3838293017686006	1	0:01:48.578818
31	5	2	0.3838293017686006	0	0:01:48.632147
32	4	4	0.2212630724953428	1	0:01:48.594095
33	5	3	0.3838293017686006	0	0:01:48.674724
34	9	9	0.3838293017686006	1	0:01:48.650831
35	2	1	0.3838293017686006	0	0:01:48.667405
36	4	2	0.2782166692597143	0	0:01:48.628043
37	1	8	0.011858309618341585	0	0:01:48.668648
38	9	9	0.33185122028722214	1	0:01:48.619441
39	5	5	0.3838293017686006	1	0:01:48.630312
40	4	8	0.29502806834221773	0	0:01:48.648211
41	6	6	0.3838293017686006	1	0:01:48.582370
42	5	5	0.3838293017686006	1	0:01:48.647014
43	6	6	0.30722696853323056	1	0:01:48.598061
44	0	0	0.3838293017686006	1	0:01:48.597792
45	9	9	0.3838293017686006	1	0:01:48.632000
46	3	5	0.3838293017686006	0	0:01:48.617359
47	9	8	0.3838293017686006	0	0:01:48.660349
48	7	4	0.3838293017686006	0	0:01:48.606691
49	6	4	0.3736756310619156	0	0:01:48.567119
50	9	9	0.3838293017686006	1	0:01:48.660575
51	8	8	0.3838293017686006	1	0:01:48.639350
52	0	6	0.3838293017686006	0	0:01:48.654642
53	3	6	0.3838293017686006	0	0:01:48.645822
54	8	8	0.3838293017686006	1	0:01:48.643286
55	8	8	0.3838293017686006	1	0:01:48.629485
56	7	5	0.3838293017686006	0	0:01:48.684708
57	7	6	0.3666939295689941	0	0:01:48.638891
58	4	2	0.16970820793917707	0	0:01:48.656182
59	6	2	0.3838293017686006	0	0:01:48.675541
60	7	7	0.3838293017686006	1	0:01:48.670229
61	3	3	0.3736756310619156	1	0:01:48.655133
62	6	6	0.3838293017686006	1	0:01:48.649026
63	3	9	0.3838293017686006	0	0:01:48.655200
64	6	6	0.3838293017686006	1	0:01:48.637643
65	2	4	0.3838293017686006	0	0:01:48.589681
66	1	1	0.16716953177719013	1	0:01:48.611528
67	2	0	0.3838293017686006	0	0:01:48.613342
68	3	5	0.3838293017686006	0	0:01:48.642814
69	7	9	0.3838293017686006	0	0:01:48.597386
70	2	0	0.24338753148192305	0	0:01:48.554234
71	6	6	0.22992098237512854	1	0:01:48.564818
72	8	8	0.3838293017686006	1	0:01:48.575646
73	8	8	0.3838293017686006	1	0:01:48.557609
74	0	8	0.30429536504148813	0	0:01:48.566163
75	2	2	0.3838293017686006	1	0:01:48.571345
76	9	9	0.12180904817779246	1	0:01:48.610241
77	3	5	0.3281644268878539	0	0:01:48.607705
78	3	6	0.3838293017686006	0	0:01:48.628183
79	8	8	0.3838293017686006	1	0:01:48.568214
80	8	8	0.3838293017686006	1	0:01:48.558422
81	1	1	0.3838293017686006	1	0:01:48.546940
82	1	1	0.3838293017686006	1	0:01:48.599738
83	7	7	0.3838293017686006	1	0:01:48.603163
84	2	2	0.3838293017686006	1	0:01:48.632681
85	5	7	0.3838293017686006	0	0:01:48.611102
86	2	2	0.3838293017686006	1	0:01:48.666912
87	7	8	0.3838293017686006	0	0:01:48.587244
88	8	8	0.3838293017686006	1	0:01:48.619372
89	9	8	0.3838293017686006	0	0:01:48.596008
90	0	0	0.3838293017686006	1	0:01:48.601281
91	3	4	0.012768025646825228	0	0:01:48.578555
92	8	8	0.3838293017686006	1	0:01:48.595622
93	6	6	0.3838293017686006	1	0:01:48.636011
94	4	4	0.3838293017686006	1	0:01:48.561866
95	6	2	0.20368728218653734	0	0:01:48.621057
96	6	4	0.11554659442124109	0	0:01:48.590624
97	0	0	0.3838293017686006	1	0:01:48.573829
98	0	0	0.3838293017686006	1	0:01:48.679643
99	7	7	0.3838293017686006	1	0:01:48.639655
