idx	label	predict	radius	correct	time
0	3	1	0.2132806924021087	0	0:01:57.434559
1	8	9	1.0902711696813414	0	0:01:56.993038
2	8	9	0.5076996375322077	0	0:01:56.718104
3	0	-1	0.0	0	0:01:56.764680
4	6	-1	0.0	0	0:01:56.911554
5	6	-1	0.0	0	0:01:57.159292
6	1	5	0.6029974665171535	0	0:02:03.020244
7	6	-1	0.0	0	0:02:11.542360
8	3	5	0.49043952202924385	0	0:02:11.393675
9	1	9	1.9805051429598812	0	0:02:11.483809
10	0	-1	0.0	0	0:02:10.681067
11	9	9	2.3098874908329163	1	0:02:10.382687
12	5	1	0.015799844329391386	0	0:02:11.414288
13	7	7	1.0795369600353872	1	0:02:11.818287
14	9	9	1.6600285276952773	1	0:02:11.491135
15	8	-1	0.0	0	0:02:11.646427
16	5	5	0.9674070666823509	1	0:02:11.942004
17	7	9	0.7973957822493858	0	0:02:11.358596
18	8	9	0.011786345878689836	0	0:02:11.150515
19	6	-1	0.0	0	0:02:10.979462
20	7	9	0.16684777108350762	0	0:02:11.361520
21	0	0	1.0781463564507365	1	0:02:11.713614
22	4	1	0.3873787222699985	0	0:02:11.755616
23	9	9	3.0557827464082843	1	0:02:11.438855
24	5	-1	0.0	0	0:02:11.393822
25	2	9	0.5652510305496613	0	0:02:11.757282
26	4	5	0.4884359618083051	0	0:02:11.487042
27	0	9	0.5216233325186982	0	0:02:11.170005
28	9	9	1.6320015355564284	1	0:02:11.686517
29	6	-1	0.0	0	0:02:11.497917
30	6	1	0.08645206626531494	0	0:02:11.938700
31	5	-1	0.0	0	0:02:11.407676
32	4	1	0.17988493187305793	0	0:02:11.378616
33	5	-1	0.0	0	0:02:11.933818
34	9	9	3.0557827464082843	1	0:02:11.190192
35	2	1	0.28670441692186094	0	0:02:10.924491
36	4	9	0.4668136932473384	0	0:02:11.421001
37	1	9	2.133613339527763	0	0:02:11.222147
38	9	9	2.3694273920271325	1	0:02:11.255150
39	5	5	0.0030087758017204253	1	0:02:11.279918
40	4	-1	0.0	0	0:02:11.728616
41	6	6	1.0781463564507365	1	0:02:11.533289
42	5	5	1.0968694633722746	1	0:02:10.929970
43	6	1	0.5344809894787149	0	0:02:11.039884
44	0	9	0.8158532956993315	0	0:02:11.294321
45	9	9	3.0101561463841153	1	0:02:10.969189
46	3	5	0.5462510244798677	0	0:02:10.961558
47	9	9	0.6956128522682719	1	0:02:10.759171
48	7	9	0.0005013198212614946	0	0:02:10.866962
49	6	-1	0.0	0	0:02:10.375699
50	9	9	2.5518849900046408	1	0:02:10.041388
51	8	9	1.0680141003387418	0	0:02:10.558781
52	0	1	0.18449450058869096	0	0:02:00.473488
53	3	9	0.3317689567275853	0	0:01:57.139929
54	8	-1	0.0	0	0:01:57.836505
55	8	9	0.584467999998992	0	0:01:57.369099
56	7	5	1.5542278559262899	0	0:01:57.468004
57	7	1	0.788971856600637	0	0:01:57.143828
58	4	9	0.8353322768894079	0	0:01:57.294101
59	6	5	0.30200355187318506	0	0:01:57.236196
60	7	7	1.1657927760260853	1	0:01:59.804512
61	3	-1	0.0	0	0:02:11.065748
62	6	1	0.05824493230250811	0	0:02:11.824905
63	3	9	2.625282661676463	0	0:02:11.142239
64	6	-1	0.0	0	0:02:11.006713
65	2	-1	0.0	0	0:02:10.448289
66	1	-1	0.0	0	0:02:10.480305
67	2	0	1.1390376062347176	0	0:02:11.148609
68	3	5	0.0735981227342659	0	0:02:11.206257
69	7	9	2.440122500133719	0	0:02:10.831361
70	2	-1	0.0	0	0:02:11.305247
71	6	9	0.1474795078610984	0	0:02:11.184083
72	8	9	1.084188054782821	0	0:02:10.946589
73	8	9	0.34381663798986023	0	0:02:10.720577
74	0	9	1.439782207717247	0	0:02:10.412304
75	2	9	0.877581609611075	0	0:02:10.897007
76	9	9	1.5560103293169756	1	0:02:11.020454
77	3	-1	0.0	0	0:02:10.747465
78	3	5	0.09402166845938843	0	0:02:10.940274
79	8	9	0.682336100321195	0	0:02:11.016383
80	8	9	0.3363141043245324	0	0:02:10.867242
81	1	1	2.5602247377769216	1	0:02:09.985924
82	1	1	2.379469221596569	1	0:02:10.511035
83	7	-1	0.0	0	0:02:10.793747
84	2	-1	0.0	0	0:02:10.808314
85	5	7	0.07510946695175631	0	0:02:10.988022
86	2	-1	0.0	0	0:02:10.693337
87	7	9	1.292902931428896	0	0:02:10.517587
88	8	9	1.2187861395130688	0	0:02:11.199756
89	9	9	1.1480285472839165	1	0:02:10.860270
90	0	9	0.07611715631500664	0	0:02:10.472606
91	3	-1	0.0	0	0:02:10.925556
92	8	9	0.3637467663368009	0	0:02:11.102584
93	6	9	1.546270002477792	0	0:02:10.897906
94	4	9	0.6260820648574507	0	0:02:11.004592
95	6	9	0.44206214504588165	0	0:02:11.040484
96	6	-1	0.0	0	0:02:10.957057
97	0	9	0.10361967301513353	0	0:02:10.515658
98	0	0	3.0101561463841153	1	0:02:10.534087
99	7	-1	0.0	0	0:02:11.170426
